"","year","cumulative_co2_including_luc"
"1",1850,2835.459
"2",1851,5853.951
"3",1852,8919.044
"4",1853,12041.88
"5",1854,15211.758
"6",1855,18350.539
"7",1856,21597.67
"8",1857,24829.936
"9",1858,28090.312
"10",1859,31431.559
"11",1860,34544.707
"12",1861,37661.254
"13",1862,40757.695
"14",1863,43844.352
"15",1864,46872.57
"16",1865,49878.855
"17",1866,52936.047
"18",1867,55987.086
"19",1868,59020.246
"20",1869,62129.863
"21",1870,65501.133
"22",1871,68925.43
"23",1872,72608.898
"24",1873,76259.578
"25",1874,80066.25
"26",1875,84009.727
"27",1876,87983.703
"28",1877,91869.195
"29",1878,95855.766
"30",1879,99885.711
"31",1880,104124.078
"32",1881,108389.133
"33",1882,112883.656
"34",1883,117360.078
"35",1884,122001.75
"36",1885,126650.141
"37",1886,131228.094
"38",1887,136003.266
"39",1888,140770.484
"40",1889,145649.703
"41",1890,150906.625
"42",1891,156436.172
"43",1892,161917.812
"44",1893,167569.016
"45",1894,173284.719
"46",1895,179089.438
"47",1896,184878.734
"48",1897,190900.578
"49",1898,196963.484
"50",1899,203274.219
"51",1900,209741.812
"52",1901,216298.531
"53",1902,223000.562
"54",1903,229859.547
"55",1904,236826.125
"56",1905,244089.922
"57",1906,251471.719
"58",1907,259120.578
"59",1908,266745.094
"60",1909,274592.469
"61",1910,282382.656
"62",1911,290299.531
"63",1912,298232.219
"64",1913,306263.281
"65",1914,314049.5
"66",1915,321760.906
"67",1916,329675.531
"68",1917,337769.031
"69",1918,345817.219
"70",1919,353332.344
"71",1920,361473.688
"72",1921,369418.844
"73",1922,377475.844
"74",1923,386074.281
"75",1924,394698.344
"76",1925,403357.438
"77",1926,411965.156
"78",1927,420943.938
"79",1928,429880.281
"80",1929,439062.594
"81",1930,448040.938
"82",1931,456765.125
"83",1932,465191.094
"84",1933,473851.125
"85",1934,482845.094
"86",1935,491942.031
"87",1936,501450.531
"88",1937,511315.531
"89",1938,520963.219
"90",1939,530790.562
"91",1940,541133.562
"92",1941,551870.938
"93",1942,562622.688
"94",1943,573418.75
"95",1944,584279.625
"96",1945,594261.312
"97",1946,604517.375
"98",1947,615318.938
"99",1948,626317.062
"100",1949,636997.312
"101",1950,649134.625
"102",1951,662075.875
"103",1952,675021.375
"104",1953,688261.375
"105",1954,702031.312
"106",1955,716598.5
"107",1956,731744
"108",1957,747253.188
"109",1958,762861.688
"110",1959,779460.062
"111",1960,795553.125
"112",1961,811788.688
"113",1962,827866.688
"114",1963,844294.688
"115",1964,860978
"116",1965,877913.688
"117",1966,894999.188
"118",1967,912637.438
"119",1968,930875.125
"120",1969,950472.875
"121",1970,971066.062
"122",1971,991688
"123",1972,1013303.188
"124",1973,1035632.375
"125",1974,1057781.875
"126",1975,1079894
"127",1976,1102967.25
"128",1977,1126979.625
"129",1978,1151462
"130",1979,1175757.75
"131",1980,1200213.875
"132",1981,1224066.625
"133",1982,1247481.375
"134",1983,1271258.25
"135",1984,1296545.25
"136",1985,1322148
"137",1986,1348290.25
"138",1987,1374880
"139",1988,1402136.125
"140",1989,1429476.25
"141",1990,1457181.625
"142",1991,1485337.75
"143",1992,1513124
"144",1993,1540853.75
"145",1994,1569736
"146",1995,1598700.5
"147",1996,1628971.25
"148",1997,1660779.625
"149",1998,1691227.875
"150",1999,1722084.5
"151",2000,1752892.25
"152",2001,1783363.75
"153",2002,1814768.75
"154",2003,1848514
"155",2004,1882550.375
"156",2005,1917055.875
"157",2006,1953016.5
"158",2007,1989145.625
"159",2008,2026100.125
"160",2009,2062916
"161",2010,2101759.75
"162",2011,2141542.75
"163",2012,2182194.5
"164",2013,2222612.25
"165",2014,2263458.75
"166",2015,2304395.25
"167",2016,2344218
"168",2017,2384439
"169",2018,2425014.25
"170",2019,2465905.25
"171",2020,2504470.5
"172",2021,2545015
"173",2022,2585850
"174",2023,2627266.5
